ID,Data,Ora,Tipo,Causa,Meteo,Visibilità,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3622537,Roma,01-01-2018,13:25,Infortunio per sola frenata improvvisa,,Nuvoloso,Buona,2,1,0,0
3622541,Roma,01-01-2018,02:40,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,2,0,0,0
3622543,Roma,01-01-2018,01:25,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,6,0,0,0
3622552,Roma,01-01-2018,04:00,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,0,1,0,0
3622554,Roma,02-01-2018,08:45,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3622557,Roma,01-01-2018,17:15,Tamponamento Multiplo,,Nuvoloso,Buona,3,2,0,0
3622565,Roma,01-01-2018,23:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3622586,Roma,01-01-2018,05:35,Ribaltamento senza urto contro ostacolo fisso,,Sereno,Sufficiente,2,0,0,0
3622588,Roma,01-01-2018,11:40,Ribaltamento senza urto contro ostacolo fisso,,Nuvoloso,Buona,4,1,0,0
3622592,Roma,01-01-2018,02:15,Tamponamento,,Sereno,Buona,0,1,0,0
3622593,Roma,01-01-2018,10:30,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Buona,0,1,0,0
3622600,Roma,01-01-2018,05:10,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Sufficiente,1,2,0,0
3622612,Roma,01-01-2018,07:00,Veicolo in marcia contro ostacolo fisso,,,,1,0,0,0
3622613,Roma,01-01-2018,07:30,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Buona,1,0,0,0
3622617,Roma,01-01-2018,02:35,Tamponamento,,Sereno,Sufficiente,4,0,0,0
3622618,Roma,01-01-2018,05:30,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,1,0,0,0
3622620,Roma,01-01-2018,16:35,Veicolo in marcia contro veicolo fermo,,Sereno,Sufficiente,2,1,0,0
3622623,Roma,01-01-2018,06:15,Veicolo in marcia contro veicolo fermo,,Nuvoloso,Sufficiente,3,0,0,0
3622626,Roma,01-01-2018,07:30,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Buona,1,0,0,0
3622632,Roma,01-01-2018,21:20,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Insufficiente,2,0,0,0
3622654,Roma,01-01-2018,17:15,Tamponamento,,Nuvoloso,Buona,7,0,0,0
3622655,Roma,01-01-2018,21:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Insufficiente,5,0,0,0
3622657,Roma,01-01-2018,21:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3622663,Roma,02-01-2018,10:35,Investimento di pedone,,Sereno,Buona,1,1,0,0
3622672,Roma,02-01-2018,10:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3622692,Roma,01-01-2018,17:50,Veicolo in marcia contro veicolo fermo,,Nuvoloso,Buona,5,0,0,0
3622733,Roma,02-01-2018,05:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,1,0,0,0
3622785,Roma,02-01-2018,07:35,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3622825,Roma,02-01-2018,08:45,Tamponamento,,Sereno,Buona,2,0,0,0
3622914,Roma,02-01-2018,10:25,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3622950,Roma,01-01-2018,15:40,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,2,0,0,0
3622966,Roma,01-01-2018,07:00,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,1,0,0,0
3622981,Roma,01-01-2018,12:45,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,5,0,0,0
3623014,Roma,02-01-2018,12:30,Infortunio per sola frenata improvvisa,,Sereno,Buona,1,1,0,0
3623088,Roma,02-01-2018,12:50,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3623169,Roma,02-01-2018,12:20,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,5,0,0
3623190,Roma,02-01-2018,13:10,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,0,1,0,0
3623197,Roma,02-01-2018,16:50,Veicolo in marcia contro veicolo fermo,,Sereno,Sufficiente,2,0,0,0
3623215,Roma,02-01-2018,11:30,Investimento di pedone,,Sereno,Sufficiente,1,1,0,0
3623232,Roma,02-01-2018,15:15,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3623315,Roma,02-01-2018,19:45,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,4,0,0,0
3623543,Roma,02-01-2018,19:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,1,0,0
3623544,Roma,02-01-2018,18:15,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,4,0,0,0
3623545,Roma,02-01-2018,18:45,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3623553,Roma,01-01-2018,20:40,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,2,0,0,0
3623559,Roma,02-01-2018,17:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,2,0,0,0
3623561,Roma,02-01-2018,14:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,6,0,0,0
3623562,Roma,02-01-2018,15:05,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,2,0,0,0
3623564,Roma,02-01-2018,19:00,Tamponamento Multiplo,,Sereno,Sufficiente,2,2,0,0
3623568,Roma,02-01-2018,15:50,Tamponamento,,Sereno,Buona,2,0,0,0
3623570,Roma,02-01-2018,17:50,Tamponamento Multiplo,,Sereno,Sufficiente,4,1,0,0
3623571,Roma,02-01-2018,19:55,Tamponamento,,Sereno,Buona,2,0,0,0
3623572,Roma,02-01-2018,15:30,Investimento di pedone,,Sereno,Buona,1,1,0,0
3623575,Roma,02-01-2018,18:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Sufficiente,1,1,0,0
3623578,Roma,02-01-2018,22:40,Veicolo in marcia contro veicolo in sosta,,Sereno,Sufficiente,1,0,0,0
3623580,Roma,02-01-2018,11:00,Veicolo in marcia contro treno,,Sereno,Buona,3,0,0,0
3623581,Roma,02-01-2018,13:45,Ribaltamento senza urto contro ostacolo fisso,,Sereno,Buona,0,1,0,0
3623583,Roma,02-01-2018,19:40,Scontro frontale fra veicoli in marcia,,Sereno,Sufficiente,2,1,0,0
3623585,Roma,02-01-2018,08:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3623589,Roma,02-01-2018,15:10,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,2,0,0,0
3623590,Roma,02-01-2018,13:50,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3623596,Roma,03-01-2018,00:15,Tamponamento,,Sereno,Sufficiente,1,1,0,0
3623597,Roma,02-01-2018,17:45,Investimento di pedone,,Sereno,Insufficiente,0,2,0,0
3623605,Roma,02-01-2018,19:15,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Insufficiente,1,2,0,0
3623606,Roma,02-01-2018,23:20,Investimento di pedone,,Sereno,Sufficiente,1,1,0,0
3623612,Roma,02-01-2018,17:15,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3623616,Roma,02-01-2018,17:40,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,2,0,0,0
3623619,Roma,02-01-2018,21:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,5,1,0,0
3623624,Roma,02-01-2018,15:30,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,1,2,0,0
3623634,Roma,02-01-2018,13:15,Scontro laterale fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3623635,Roma,02-01-2018,12:15,Tamponamento Multiplo,,Sereno,Buona,6,2,0,0
3623637,Roma,02-01-2018,16:45,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,6,0,0,0
3623638,Roma,02-01-2018,11:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,1,0,0
3623641,Roma,02-01-2018,09:10,Tamponamento Multiplo,,Nuvoloso,Buona,3,0,0,0
3623643,Roma,02-01-2018,19:00,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,4,0,0,0
3623647,Roma,02-01-2018,17:45,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,3,0,0,0
3623650,Roma,02-01-2018,22:10,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,0,0,0
3623654,Roma,02-01-2018,19:40,Investimento di pedone,,Sereno,Buona,1,0,1,0
3623656,Roma,02-01-2018,12:30,Investimento di pedone,,Sereno,Buona,1,1,0,0
3623657,Roma,03-01-2018,00:15,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,1,1,0,0
3623670,Roma,03-01-2018,03:00,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,0,1,0,0
3623673,Roma,03-01-2018,00:10,Ribaltamento senza urto contro ostacolo fisso,,Sereno,Sufficiente,1,1,0,0
3623678,Roma,02-01-2018,14:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3623683,Roma,01-01-2018,,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Sufficiente,1,0,0,0
3623688,Roma,02-01-2018,18:00,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,2,0,0,0
3623689,Roma,02-01-2018,16:45,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,5,1,0,0
3623695,Roma,01-01-2018,03:20,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,5,0,0,0
3623717,Roma,03-01-2018,07:50,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,1,0,0
3623755,Roma,02-01-2018,00:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3623763,Roma,02-01-2018,23:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,1,0,0
3623772,Roma,01-01-2018,04:50,Veicolo in marcia contro ostacolo fisso,,Sereno,Sufficiente,1,0,0,0
3623783,Roma,02-01-2018,18:30,Tamponamento Multiplo,,Sereno,Buona,3,0,0,0
3623807,Roma,01-01-2018,03:30,Veicolo in marcia contro ostacolo fisso,,Sereno,Sufficiente,1,0,0,0
3623811,Roma,03-01-2018,08:45,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3623820,Roma,02-01-2018,13:00,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,2,0,0,0
3623843,Roma,03-01-2018,02:00,Tamponamento,,Sereno,Buona,3,0,0,0
3623862,Roma,02-01-2018,20:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3623877,Roma,03-01-2018,09:45,Veicolo in marcia contro veicolo in sosta,,,,1,0,0,0
3623908,Roma,03-01-2018,10:20,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3623915,Roma,02-01-2018,11:50,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3623928,Roma,03-01-2018,11:00,Investimento di pedone,,Nuvoloso,Buona,2,0,0,0
3623941,Roma,02-01-2018,12:30,Tamponamento,,Sereno,Buona,1,1,0,0
3623968,Roma,03-01-2018,11:20,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3624381,Roma,16-01-2018,07:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3624422,Roma,02-01-2018,10:00,Veicolo in marcia contro veicolo in sosta,,,,2,0,0,0
3624425,Roma,03-01-2018,14:30,Investimento di pedone,,Nuvoloso,Buona,2,1,0,0
3624439,Roma,02-01-2018,15:20,Tamponamento Multiplo,,Sereno,Buona,5,0,0,0
3624453,Roma,03-01-2018,14:05,Veicolo in marcia contro veicolo fermo,,Nuvoloso,Buona,3,0,0,0
3624465,Roma,02-01-2018,16:10,Veicolo in marcia contro ostacolo fisso,,,,1,0,0,0
3624469,Roma,02-01-2018,17:10,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3624475,Roma,02-01-2018,23:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,4,0,0,0
3624513,Roma,03-01-2018,15:10,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3624525,Roma,03-01-2018,17:35,Scontro laterale fra veicoli in marcia,,Sereno,Buona,6,0,0,0
3624543,Roma,03-01-2018,15:00,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,2,0,0,0
3624544,Roma,03-01-2018,14:20,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,0,3,0,0
3624554,Roma,03-01-2018,15:45,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3624889,Roma,03-01-2018,11:45,Veicolo in marcia contro veicoli in arresto,,Nuvoloso,Buona,2,0,0,0
3624896,Roma,03-01-2018,17:55,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Insufficiente,2,0,0,0
3624897,Roma,03-01-2018,18:15,Investimento di pedone,,Sereno,Sufficiente,1,1,0,0
3624905,Roma,03-01-2018,11:15,Infortunio per caduta del veicolo,,Nuvoloso,Buona,0,1,0,0
3624907,Roma,04-01-2018,00:10,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3624908,Roma,03-01-2018,21:40,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,1,1,0,0
3624909,Roma,03-01-2018,18:20,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3624911,Roma,03-01-2018,14:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,2,0,0
3624920,Roma,03-01-2018,18:00,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3624922,Roma,03-01-2018,17:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3624931,Roma,03-01-2018,15:00,Fuoriuscita dalla sede stradale,,Nuvoloso,Buona,1,0,0,0
3624934,Roma,03-01-2018,16:00,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3624936,Roma,03-01-2018,14:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3624937,Roma,03-01-2018,20:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,4,0,0,0
3624938,Roma,03-01-2018,21:10,Tamponamento,,Sereno,Sufficiente,1,3,0,0
3624939,Roma,03-01-2018,22:40,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3624941,Roma,03-01-2018,18:10,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,2,0,0
3624945,Roma,03-01-2018,17:20,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3624946,Roma,03-01-2018,12:30,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3624950,Roma,03-01-2018,18:10,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,2,0,0,0
3624951,Roma,03-01-2018,20:15,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3624956,Roma,03-01-2018,17:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3624960,Roma,03-01-2018,17:50,Scontro frontale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3624962,Roma,03-01-2018,15:25,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,3,0,0,0
3624963,Roma,03-01-2018,17:40,Scontro frontale/laterale SX fra veicoli in marcia,,Nebbia,Buona,3,0,0,0
3624968,Roma,03-01-2018,09:20,Tamponamento,,Sereno,Buona,1,1,0,0
3624969,Roma,03-01-2018,14:15,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,2,0,0
3624974,Roma,03-01-2018,20:30,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,3,0,0,0
3624977,Roma,03-01-2018,14:15,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3624980,Roma,03-01-2018,15:40,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,2,0,0
3624987,Roma,03-01-2018,21:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3624988,Roma,03-01-2018,18:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,5,0,0,0
3624993,Roma,03-01-2018,16:20,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,2,0,0,0
3624997,Roma,03-01-2018,15:15,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3625004,Roma,04-01-2018,05:00,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3625018,Roma,03-01-2018,22:55,Scontro laterale fra veicoli in marcia,,Sereno,Buona,4,0,0,0
3625022,Roma,03-01-2018,20:45,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,4,0,0,0
3625025,Roma,03-01-2018,06:20,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Sufficiente,3,0,0,0
3625040,Roma,03-01-2018,19:30,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3625052,Roma,03-01-2018,07:00,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3625072,Roma,03-01-2018,18:20,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,4,0,0,0
3625085,Roma,04-01-2018,00:24,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,3,0,0,0
3625091,Roma,03-01-2018,20:20,Scontro frontale/laterale DX fra veicoli in marcia,,,,1,0,0,0
3625099,Roma,03-01-2018,16:40,Veicolo in marcia contro ostacolo fisso,,,,1,0,0,0
3625103,Roma,03-01-2018,13:15,Investimento di pedone,,Nuvoloso,Buona,1,2,0,0
3625114,Roma,03-01-2018,09:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,4,0,0,0
3625122,Roma,03-01-2018,11:00,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3625127,Roma,03-01-2018,18:50,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,2,1,0,0
3625191,Roma,03-01-2018,11:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,1,0,0
3625202,Roma,04-01-2018,10:00,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,5,0,0,0
3625205,Roma,04-01-2018,01:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,1,2,0,0
3625234,Roma,03-01-2018,14:15,Veicolo in marcia contro veicolo fermo,,Sereno,Buona,1,0,0,0
3625246,Roma,03-01-2018,17:00,Tamponamento,,Nuvoloso,Buona,4,1,0,0
3625285,Roma,03-01-2018,23:45,Tamponamento Multiplo,,Nuvoloso,Insufficiente,6,0,0,0
3625308,Roma,04-01-2018,07:55,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3625328,Roma,04-01-2018,09:30,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3625466,Roma,04-01-2018,12:00,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3625478,Roma,04-01-2018,12:55,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3625515,Roma,04-01-2018,13:18,Veicolo in marcia contro veicolo fermo,,Sereno,Buona,3,0,0,0
3625552,Roma,04-01-2018,11:30,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,4,0,0,0
3625558,Roma,04-01-2018,14:30,Tamponamento Multiplo,,Nuvoloso,Buona,6,0,0,0
3625592,Roma,04-01-2018,10:45,Tamponamento,,Sereno,Buona,3,1,0,0
3625634,Roma,03-01-2018,19:10,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3625645,Roma,04-01-2018,13:55,Investimento di pedone,,Sereno,Buona,1,1,0,0
3625655,Roma,04-01-2018,01:00,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,3,0,0,0
3625667,Roma,04-01-2018,01:05,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Sufficiente,3,0,0,0
3625775,Roma,01-01-2018,03:15,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,5,0,0,0
3625778,Roma,04-01-2018,15:15,Tamponamento Multiplo,,Sereno,Buona,3,1,0,0
3625799,Roma,04-01-2018,11:55,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,1,0,0
3625807,Roma,04-01-2018,07:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3625821,Roma,04-01-2018,09:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3625822,Roma,04-01-2018,11:15,Tamponamento,,,,4,0,0,0
3625824,Roma,04-01-2018,09:30,Investimento di pedone,,Sereno,Buona,1,1,0,0
3625830,Roma,04-01-2018,14:40,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3625835,Roma,04-01-2018,16:55,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3625836,Roma,04-01-2018,10:30,Veicolo in marcia contro veicolo fermo,,Sereno,Buona,1,1,0,0
3625842,Roma,04-01-2018,16:25,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3625845,Roma,04-01-2018,11:45,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3625921,Roma,04-01-2018,15:45,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3626187,Roma,04-01-2018,13:45,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3626192,Roma,04-01-2018,10:30,Scontro frontale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3626197,Roma,04-01-2018,12:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3626205,Roma,04-01-2018,22:10,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,4,0,0,0
3626208,Roma,05-01-2018,04:40,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Sufficiente,2,1,0,0
3626214,Roma,04-01-2018,21:15,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,8,0,0,0
3626218,Roma,04-01-2018,17:50,Investimento di pedone,,Sereno,Buona,2,0,1,0
3626224,Roma,04-01-2018,14:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,4,0,0,0
3626230,Roma,04-01-2018,11:30,Tamponamento,,Sereno,Buona,2,1,0,0
